player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
182875,995,Jean-Charles,Castelletto,Jean-Charles Castelletto,Defender,Centre-Back,27.0,4000000,FC Nantes,ligue-1,30(2),2569.0,1.3,1.8,0.9,0.2,2.7,0.4,0.7,-,6.69
496706,1158,Montassar,Talbi,Montassar Talbi,Defender,Centre-Back,24.0,4000000,FC Lorient,ligue-1,38,3420.0,1.4,1.1,0.4,0.4,4.8,0.3,0.9,-,6.79
842341,969,Maxime,Estève,Maxime Estève,Defender,Centre-Back,20.0,4000000,Montpellier HSC,ligue-1,18(5),1645.0,1.0,1.5,0.8,0.5,3.7,0.2,0.7,1,6.53
395685,1158,Gédéon,Kalulu,Gédéon Kalulu,Defender,Right-Back,25.0,4000000,FC Lorient,ligue-1,28(1),2442.0,2.2,1,1,0.2,2.4,0.6,0.1,-,6.69
711969,273,Lorenz,Assignon,Lorenz Assignon,Defender,Right-Back,22.0,4000000,Stade Rennais FC,ligue-1,2(10),254.0,0.5,0.2,0.3,0.1,0.7,0.2,-,-,6.2
485960,3911,Lilian,Brassier,Lilian Brassier,Defender,Centre-Back,23.0,4000000,Stade Brestois 29,ligue-1,35(1),3094.0,1.2,1.5,1.2,0.7,3.4,0.3,0.5,-,6.66
37838,1041,Dejan,Lovren,Dejan Lovren,Defender,Centre-Back,33.0,3500000,Olympique Lyon,ligue-1,17,1462.0,1.5,1.5,0.6,0.8,3.8,0.5,0.6,-,6.91
201737,969,Christopher,Jullien,Christopher Jullien,Defender,Centre-Back,29.0,3500000,Montpellier HSC,ligue-1,30,2696.0,1.5,1.4,1.1,0.2,3.7,0.8,0.6,-,6.74
211637,969,Kiki,Kouyaté,Kiki Kouyaté,Defender,Centre-Back,25.0,3500000,Montpellier HSC,ligue-1,15,1259.0,2.1,2.3,1.4,0.2,4.7,1.1,0.9,-,7.1
47713,969,Mamadou,Sakho,Mamadou Sakho,Defender,Centre-Back,32.0,3500000,Montpellier HSC,ligue-1,7(8),762.0,0.6,0.5,0.4,0.1,2.3,0.1,0.8,-,6.3
352392,667,Lucas,Perrin,Lucas Perrin,Defender,Centre-Back,24.0,3500000,RC Strasbourg Alsace,ligue-1,18(8),1763.0,1.7,1.4,0.9,0.4,1.7,0.9,0.2,-,6.59
805908,3911,Bradley,Locko,Bradley Locko,Defender,Left-Back,20.0,3500000,Stade Brestois 29,ligue-1,2(5),270.0,0.6,0.3,-,-,1.4,0.1,-,-,6.44
198709,1420,Cédric,Hountondji,Cédric Hountondji,Defender,Centre-Back,28.0,3000000,Angers SCO,ligue-1,35(1),3097.0,1.4,1.6,1.2,0.6,3.5,0.3,0.6,2,6.37
208172,3524,Mateusz,Wieteska,Mateusz Wieteska,Defender,Centre-Back,25.0,3000000,Clermont Foot 63,ligue-1,35,3120.0,1.2,1.6,0.8,0.5,2.6,0.4,0.8,-,6.61
72857,969,Pedro,Mendes,Pedro Mendes,Defender,Centre-Back,32.0,3000000,Montpellier HSC,ligue-1,0(1),12.0,-,-,-,-,-,-,-,-,5.72
94005,244,Sead,Kolasinac,Sead Kolasinac,Defender,Left-Back,29.0,3000000,Olympique Marseille,ligue-1,26(7),2219.0,1.6,1.3,1.3,0.1,1.1,0.4,0.1,-,6.74
282199,1095,Erik,Palmer-Brown,Erik Palmer-Brown,Defender,Centre-Back,25.0,3000000,ESTAC Troyes,ligue-1,36(2),3194.0,1.1,0.7,0.8,0.5,4.1,0.4,0.8,1,6.34
683895,1421,Emmanuel,Agbadou,Emmanuel Agbadou,Defender,Centre-Back,25.0,3000000,Stade Reims,ligue-1,27(2),2390.0,2.4,1.1,1,0.2,3.6,0.8,0.5,1,6.79
386057,1158,Julien,Laporte,Julien Laporte,Defender,Centre-Back,29.0,3000000,FC Lorient,ligue-1,19(1),1656.0,1.1,0.9,0.5,0.3,5.3,0.3,1.4,1,6.64
296356,1420,Souleyman,Doumbia,Souleyman Doumbia,Defender,Left-Back,26.0,3000000,Angers SCO,ligue-1,21(3),1793.0,1.9,1.1,1.1,0.4,0.8,0.6,0.1,-,6.39
327863,290,Akim,Zedadka,Akim Zedadka,Defender,Right-Back,27.0,3000000,AJ Auxerre,ligue-1,4(4),353.0,0.1,0.3,0.6,-,0.6,0.3,-,-,6.39
194460,417,Joe,Bryan,Joe Bryan,Defender,Left-Back,29.0,3000000,OGC Nice,ligue-1,2(4),177.0,0.8,0.2,0.7,0.2,0.2,-,-,-,6.17
206717,667,Eduard,Sobol,Eduard Sobol,Defender,Left-Back,27.0,3000000,RC Strasbourg Alsace,ligue-1,9(6),869.0,1.3,0.5,0.7,0.1,1.1,0.3,0.1,-,6.44
491616,1095,Jackson,Porozo,Jackson Porozo,Defender,Centre-Back,22.0,3000000,ESTAC Troyes,ligue-1,17(5),1616.0,1.5,1.5,1.3,0.2,3.3,0.8,0.8,-,6.59
570817,1421,Maxime,Busi,Maxime Busi,Defender,Right-Back,23.0,3000000,Stade Reims,ligue-1,11(10),1041.0,1,0.7,0.9,0.2,1,0.8,0.3,-,6.34
554251,1095,Yasser,Larouci,Yasser Larouci,Defender,Left-Back,21.0,3000000,ESTAC Troyes,ligue-1,21(9),1800.0,0.8,0.9,0.5,0.1,1.3,0.3,-,1,6.45
332560,826,Deiver,Machado,Deiver Machado,Defender,Left-Back,29.0,3000000,RC Lens,ligue-1,26(7),2206.0,1.4,0.6,1.3,0.1,0.7,0.4,0.1,-,6.72
170544,3911,Christophe,Hérelle,Christophe Hérelle,Defender,Centre-Back,30.0,2500000,Stade Brestois 29,ligue-1,12(4),1060.0,0.6,1.3,0.8,0.3,2.9,0.6,0.7,1,6.38
221873,415,Mikkel,Desler,Mikkel Desler,Defender,Right-Back,27.0,2500000,FC Toulouse,ligue-1,26(1),2262.0,2.6,1.3,1,-,1.7,0.9,0.2,-,6.8
566823,3911,Achraf,Dari,Achraf Dari,Defender,Centre-Back,23.0,2500000,Stade Brestois 29,ligue-1,15(3),1317.0,1.2,1.1,0.7,0.6,3.6,0.3,0.6,-,6.45
406008,1420,Yan,Valery,Yan Valery,Defender,Right-Back,23.0,2500000,Angers SCO,ligue-1,30,2504.0,1.8,1.1,1.5,0.3,2.6,0.6,0.5,-,6.57
923831,1082,Leny,Yoro,Leny Yoro,Defender,Centre-Back,17.0,2500000,LOSC Lille,ligue-1,8(5),768.0,0.8,1.4,0.4,0.3,2,0.4,0.1,-,6.44
337798,1095,Abdu,Conté,Abdu Conté,Defender,Left-Back,24.0,2500000,ESTAC Troyes,ligue-1,15(4),1317.0,1.3,0.3,0.6,0.5,1.1,0.5,0.3,-,6.46
842338,969,Enzo,Tchato,Enzo Tchato,Defender,Right-Back,20.0,2500000,Montpellier HSC,ligue-1,11(10),1094.0,1.2,0.3,0.6,0.1,1.4,0.4,0.1,-,6.32
388795,1147,Oumar,Gonzalez,Oumar Gonzalez,Defender,Centre-Back,24.0,2500000,AC Ajaccio,ligue-1,29(1),2579.0,1.7,1.7,1.5,0.5,2.6,0.5,0.4,-,6.39
804711,1420,Ousmane,Camara,Ousmane Camara,Defender,Centre-Back,19.0,2000000,Angers SCO,ligue-1,0(3),22.0,0.3,-,0.7,-,-,-,-,-,6.08
